CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
C001,22,Male,3,2,4,1,Basic,Monthly,1200,5,Yes
C002,35,Female,24,5,1,0,Premium,Yearly,18000,2,No
C003,28,Male,12,3,2,1,Standard,Monthly,6000,4,Yes
C004,45,Female,36,6,0,0,Premium,Yearly,25000,1,No
C005,31,Male,18,4,1,0,Standard,Quarterly,9000,3,No
C006,26,Female,6,2,3,2,Basic,Monthly,2500,6,Yes
C007,40,Male,30,5,1,0,Premium,Yearly,21000,2,No
C008,23,Female,4,1,5,3,Basic,Monthly,1800,7,Yes
C009,34,Male,20,4,2,1,Standard,Quarterly,11000,3,No
C010,29,Female,10,3,2,1,Standard,Monthly,5200,4,Yes
C011,50,Male,48,6,0,0,Premium,Yearly,32000,1,No
C012,27,Female,8,2,3,2,Basic,Monthly,3000,5,Yes
C013,33,Male,22,4,1,0,Standard,Quarterly,13000,2,No
C014,38,Female,28,5,1,0,Premium,Yearly,20000,2,No
C015,24,Male,5,2,4,2,Basic,Monthly,2100,6,Yes
C016,41,Female,32,5,0,0,Premium,Yearly,23000,1,No
C017,36,Male,26,4,1,0,Standard,Quarterly,15000,3,No
C018,28,Female,9,2,3,2,Basic,Monthly,3400,5,Yes
C019,44,Male,40,6,0,0,Premium,Yearly,28000,1,No
C020,21,Female,2,1,5,3,Basic,Monthly,900,8,Yes
C021,39,Male,29,5,1,0,Premium,Yearly,22000,2,No
C022,32,Female,16,4,2,1,Standard,Quarterly,9500,3,No
C023,25,Male,7,2,3,2,Basic,Monthly,2800,6,Yes
C024,47,Female,42,6,0,0,Premium,Yearly,30000,1,No
C025,30,Male,14,3,2,1,Standard,Monthly,7000,4,Yes
C026,34,Female,19,4,1,0,Standard,Quarterly,11500,3,No
C027,22,Male,3,1,4,2,Basic,Monthly,1300,7,Yes
C028,46,Female,38,6,0,0,Premium,Yearly,27000,1,No
C029,37,Male,25,4,1,0,Standard,Quarterly,14500,2,No
C030,27,Female,8,2,3,2,Basic,Monthly,3200,5,Yes
C031,43,Male,34,5,0,0,Premium,Yearly,24000,1,No
C032,31,Female,17,4,2,1,Standard,Quarterly,9800,3,No
C033,24,Male,6,2,3,2,Basic,Monthly,2600,6,Yes
C034,48,Female,44,6,0,0,Premium,Yearly,31000,1,No
C035,35,Male,21,4,1,0,Standard,Quarterly,12000,2,No
C036,26,Female,7,2,3,2,Basic,Monthly,2900,6,Yes
C037,41,Male,33,5,0,0,Premium,Yearly,23500,1,No

